tweet_id,tweet,likes_count,retweet_count,user_id,user_name
1380585611841667072,More than 112 million Americans have received at least one dose and more than 66 million adult Americans are now fully vaccinated Thats more than a quarter of all adult Americans who are now fully vaccinated up from less than 1 when the President took office 11 weeks ago,9111,1463,939091,Joe Biden
1379527249314086920,My Administration is working to get America vaccinated as quickly as possible Tune in as I provide an update on our progress and the timeline moving forward,9988,1439,939091,Joe Biden
1376636582866923526,Im proud to announce that three weeks from today 90 of adults will be eligible to get vaccinated and 90 of Americans will live within 5 miles of a place to get a shot,214478,20146,939091,Joe Biden
1374761947913146374,In total 84 million people about 1 in 3 adults have received at least one dose of the vaccine and more than 45 million people are fully vaccinated70 of those 65 and older have received at least one dose and 43 have been fully vaccinated,12512,1733,939091,Joe Biden
1374105995023159297,Big news The BidenHarris Administration set a new record this weekend with 6 million shots reported administered Were ramping up vaccination efforts every day to get America vaccinated quickly and equitably,36132,3884,939091,Joe Biden
1371240669684060169,The BidenHarris Administration has been working around the clock to get America vaccinated Weve doubled daily vaccinations secured enough doses for every American and opened hundreds of sites across the country Heres a breakdown of our progress,23344,3475,939091,Joe Biden
1367929419038351360,With the Johnson amp Johnson vaccine we now have a third safe and effective COVID19 vaccine being administered across the country Im grateful these folks are stepping up and getting vaccinated and I encourage every American to do the same when its their turn,21947,2929,939091,Joe Biden
1366586334257807367,Wash your handsStay socially distancedWear a maskGet vaccinated when its your turnDespite our progress we cant let our guard down,115718,14527,939091,Joe Biden
1366095927791001601,The more people that get vaccinated the faster we will beat this pandemic Thats why one of my first goals is to administer 100 million COVID19 vaccine shots in our first 100 days Im proud to say were over halfway to our goal and weeks ahead of schedule,125660,12802,939091,Joe Biden
1364728505586581512,On Friday President Biden toured a Pfizer manufacturing plant in Michigan to see the vaccine production process firsthand and encourage Americans to get vaccinated when its their turn Take a look,10559,1589,939091,Joe Biden
1361808977030447107,Starting this week our Administration is Increasing weekly vaccine shipments to states to 135 million doses a 57 increase from when I took office Doubling our direct shipments to local pharmaciesWere working hard to get America vaccinated quickly,103125,10601,939091,Joe Biden
1356031620986392578,In order to get America vaccinated we need more Places for people to get vaccinated Medical teams to get shots into arms Vaccine supply and to get it out the door as soon as possibleMy American Rescue Plan provides the necessary funding to get it done,118006,13158,939091,Joe Biden
1350562220367884289,To get as many people vaccinated as quickly as possible we need more clinics across the nation Thats why my administration will harness the full resources of the federal government to establish thousands of community vaccination centers,50515,5757,939091,Joe Biden
1350480432341520384,Getting America vaccinated will be one of the most challenging operational efforts ever undertaken But you have my word that we will manage the hell out of this operation,61876,6329,939091,Joe Biden
1350156296012656647,My administration will move Heaven and Earth to Allow more people to get vaccinated Create more places for them to get vaccinated Mobilize more medical teams to get shots in arms Increase vaccine supply and get it out the door as soon as possible,196864,18424,939091,Joe Biden
1349090628790067200,My number one priority is getting people vaccinated as quickly as we can to get our country back on track,94011,7710,939091,Joe Biden
1348800612742402048,Getting America vaccinated will be one of the greatest operational challenges weve ever faced but my administration will spare no effort to get it doneWere going to ensure the vaccine is distributed quickly equitably and free of charge to every American,178848,14067,939091,Joe Biden
1348763039160532992,Folks I just received the second dose of my COVID19 vaccine and just like the first dose it was safe quick and painless I urge everyone to get vaccinated once its your turn Because only together can we save lives and beat this virus,183512,13173,939091,Joe Biden
1345063487957917696,Let me be clear The BidenHarris Administration will spare no effort to make sure people are getting vaccinated,70394,7077,939091,Joe Biden
